Open,High,Low,Close,Adj Close,Volume
2.5850000381469727,2.669642925262451,2.580357074737549,2.669642925262451,2.2995331287384033,807234400
2.683213949203491,2.713571071624756,2.6607139110565186,2.677500009536743,2.306300640106201,619603600
2.672499895095825,2.674999952316284,2.6339290142059326,2.6564290523529053,2.2881505489349365,449422400
2.6875,2.739285945892334,2.6624999046325684,2.7249999046325684,2.3472156524658203,704457600
2.740356922149658,2.757143020629883,2.7049999237060547,2.7160708904266357,2.3395252227783203,675040800
2.7232139110565186,2.924643039703369,2.708214044570923,2.887856960296631,2.487494468688965,2279869200
2.994286060333252,3.0285708904266357,2.9496428966522217,2.996428966522217,2.581014394760132,1493794400
3.0346429347991943,3.085714101791382,2.98642897605896,3.010356903076172,2.5930118560791016,1280809600
3.0353569984436035,3.0717859268188477,3.0214290618896484,3.056786060333252,2.6330041885375977,776305600
3.06071400642395,3.0850000381469727,2.995357036590576,3.0253570079803467,2.6059319972991943,835623600
2.9671430587768555,3.00178599357605,2.9232139587402344,2.946070909500122,2.5376384258270264,1200637200
2.9017860889434814,2.916429042816162,2.812143087387085,2.822856903076172,2.431506633758545,1695848000
2.8314290046691895,2.8585710525512695,2.708214044570923,2.7174999713897705,2.3407552242279053,1134758800
2.7178568840026855,2.8414289951324463,2.7142860889434814,2.7739291191101074,2.3893611431121826,1059730000
2.812856912612915,2.8364291191101074,2.706070899963379,2.7157139778137207,2.339217185974121,1142254400
2.7639288902282715,2.767857074737549,2.6160709857940674,2.6500000953674316,2.2826132774353027,1275786400
2.6617860794067383,2.6939289569854736,2.5689289569854736,2.583214044570923,2.225085735321045,1181387200
2.6053569316864014,2.628571033477783,2.539285898208618,2.572499990463257,2.2158570289611816,953864800
2.541785955429077,2.7357139587402344,2.5310709476470947,2.6785709857940674,2.3072235584259033,1398401200
2.6964290142059326,2.726428985595703,2.6339290142059326,2.6967859268188477,2.322913408279419,913542000
2.676785945892334,2.7307140827178955,2.6657140254974365,2.693571090698242,2.320143461227417,521186400
2.682142972946167,2.6914288997650146,2.573214054107666,2.575000047683716,2.218010187149048,707322000
2.5799999237060547,2.5996429920196533,2.5371429920196533,2.566071033477783,2.2103195190429688,692123600
2.572143077850342,2.5896430015563965,2.383570909500122,2.4035708904266357,2.0703482627868652,1651767600
2.438214063644409,2.481429100036621,2.3814289569854736,2.414285898208618,2.079577684402466,1388830800
2.446070909500122,2.4671430587768555,2.357142925262451,2.4574999809265137,2.1168010234832764,953114400
2.4678568840026855,2.4725000858306885,2.304642915725708,2.319643020629883,1.9980559349060059,1149764000
2.32785701751709,2.416785955429077,2.246428966522217,2.4039289951324463,2.0706565380096436,1760477600
2.379642963409424,2.3839290142059326,2.3085711002349854,2.3110709190368652,1.9906721115112305,883498000
2.325000047683716,2.432142972946167,2.3214290142059326,2.4157140254974365,2.080808639526367,1160938800
2.398571014404297,2.48642897605896,2.3839290142059326,2.4721429347991943,2.129413604736328,1159771200
2.496786117553711,2.5360710620880127,2.481429100036621,2.5203568935394287,2.170943260192871,948175200
2.510714054107666,2.5317859649658203,2.4860711097717285,2.510356903076172,2.16232967376709,575999200
2.521070957183838,2.5285708904266357,2.45285701751709,2.4671430587768555,2.1251072883605957,779606800
2.4642860889434814,2.559643030166626,2.4285709857940674,2.54714298248291,2.1940157413482666,978238800
2.5639290809631348,2.607142925262451,2.5510709285736084,2.5625,2.2072432041168213,856917600
2.5764288902282715,2.6032140254974365,2.5428569316864014,2.552143096923828,2.1983225345611572,534744000
2.571070909500122,2.575714111328125,2.523214101791382,2.5353569984436035,2.183863401412964,791240800
2.556428909301758,2.585714101791382,2.432142972946167,2.446070909500122,2.1069560050964355,1266980400
2.458570957183838,2.481786012649536,2.429286003112793,2.4678568840026855,2.1257224082946777,763817600
2.4639289379119873,2.499643087387085,2.452500104904175,2.4860711097717285,2.1414103507995605,625273600
2.4785709381103516,2.496786117553711,2.4117860794067383,2.4185709953308105,2.0832691192626953,737668400
2.4175000190734863,2.4185709953308105,2.3192861080169678,2.338571071624756,2.014360189437866,912665600
2.3485710620880127,2.3892860412597656,2.3242859840393066,2.3682138919830322,2.0398926734924316,872877600
2.367500066757202,2.4000000953674316,2.3339290618896484,2.3450000286102295,2.019896984100342,653251200
2.356429100036621,2.373929023742676,2.2789289951324463,2.2832140922546387,1.966677188873291,799304800
2.2874999046325684,2.3032140731811523,2.2303569316864014,2.2567861080169678,1.9439131021499634,1043142800
2.323214054107666,2.367142915725708,2.3139290809631348,2.3457140922546387,2.020512580871582,861187600
2.348928928375244,2.4042859077453613,2.3392860889434814,2.4042859077453613,2.0709643363952637,642020400
2.4182140827178955,2.430000066757202,2.3399999141693115,2.365356922149658,2.0374317169189453,891996000
2.387500047683716,2.3892860412597656,2.296428918838501,2.296786069869995,1.978367567062378,749638400
2.3125,2.3407139778137207,2.2896430492401123,2.309286117553711,1.9891350269317627,812042000
2.3292860984802246,2.3378570079803467,2.2810709476470947,2.2853569984436035,1.968522548675537,605441200
2.2074999809265137,2.2978570461273193,2.192500114440918,2.2074999809265137,1.9014601707458496,1345366400
2.2200000286102295,2.2589290142059326,2.188214063644409,2.202500104904175,1.8971526622772217,1345895600
2.2078568935394287,2.210714101791382,2.1289288997650146,2.148571014404297,1.8507006168365479,1427826400
2.1517860889434814,2.176429033279419,2.1082139015197754,2.1414289474487305,1.8445487022399902,1071980000
2.1553568840026855,2.192142963409424,2.121428966522217,2.125356912612915,1.8307048082351685,1108072000
2.129642963409424,2.1478569507598877,2.080357074737549,2.0967860221862793,1.8060945272445679,1370322800
